method,metric,mean,standard_deviation,evaluation_split,aggregation_definition,folds,seeds,source_commit
w/o Causal Context Encoder,LagPCC,0.0101380565285621,0.002012620164156,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Causal Context Encoder,BoundedLag_NCC,0.1331883429226491,0.0024819127088478,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Causal Context Encoder,Unbiased_Distance_Correlation,0.1104158886706335,0.0031996833800955,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Causal Context Encoder,FisherZ_PCC,0.014901910026978,0.0038554237315379,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,MinMaxNormalized_CCC,0.1269180888992349,0.0071082491972166,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,LagSRCC,0.1282583686342655,0.0108792767770623,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,LagPCC,0.1469836103501253,0.010184169681823,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,BoundedLag_NCC,0.2390887143801164,0.0083483314908944,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,Unbiased_Distance_Correlation,0.3521297030115521,0.0028472559732254,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Residual Decoder,FisherZ_PCC,0.3271548575443632,0.0113382660279269,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,MinMaxNormalized_CCC,0.0010371665572829,0.0030268739284017,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,LagSRCC,0.0014495019750941,0.0045044291227613,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,LagPCC,0.0010457195092768,0.0052775739372409,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,BoundedLag_NCC,0.1309488030498338,0.0016709790842578,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,Unbiased_Distance_Correlation,0.1327994411450564,0.0134787920586416,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Partial Target Guidance,FisherZ_PCC,0.0016311136465024,0.0065708982568366,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,MinMaxNormalized_CCC,0.1324605178986429,0.0106002890919765,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,LagSRCC,0.139163617357756,0.0115542531777999,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,LagPCC,0.1526651504421516,0.0134107417075951,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,BoundedLag_NCC,0.2423593545121136,0.0104921429696767,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,Unbiased_Distance_Correlation,0.3632772901854482,0.0099055768933384,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
w/o Adaptive Electrode Graph,FisherZ_PCC,0.34342875871122,0.0226129938344966,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",MinMaxNormalized_CCC,0.1373205942008175,0.0059283911738836,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",LagSRCC,0.1456372413378574,0.0066647646378124,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",LagPCC,0.1595347661734901,0.0065974753188331,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",BoundedLag_NCC,0.2479175759560379,0.0055956071337384,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",Unbiased_Distance_Correlation,0.3622201305238586,0.0054114324573773,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
"w/o TIF, Mean Pooling",FisherZ_PCC,0.3481759033120579,0.0111876415833357,outer_test,window -> subject-trial arithmetic mean -> five-fold pooled mean per seed -> three-seed mean and sample SD,0;1;2;3;4,17;42;97,89cb5b7982f2f1ff02d100cfbdda0c1fb8472cf9
