comparison,reference,comparator,metric,positive_means,cluster,paired_benefit,ci_low,ci_high,positive_benefit_probability,n_clusters,n_windows,bootstrap_samples,evaluation_split,source_commit,comparator_source_commit
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Canberra,TIDE_better,dyad_group,0.0373938122523796,0.0303054062545345,0.0440787107494368,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,KL,TIDE_better,dyad_group,0.0028637319624922,0.0018258028538821,0.0039157407284387,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Cosine,TIDE_better,dyad_group,0.0025650753221968,0.0017440145091671,0.0033937196587911,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EMOD pretrained finetune,TIDE,EMOD pretrained finetune,Intersection,TIDE_better,dyad_group,0.0046103570909841,0.0037189502389035,0.0054853945724042,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,StaticAware_SRCC,TIDE_better,dyad_group,0.1402962867279454,0.1302770570243182,0.1502470137790503,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,StaticAware_PCC,TIDE_better,dyad_group,0.1551027329195482,0.1445944796578428,0.1660392996469246,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,StaticAware_KendallTauB,TIDE_better,dyad_group,0.1161895002199448,0.1077831721749309,0.1245039575945214,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,TimeAugmented_Discrete_Frechet,TIDE_better,dyad_group,0.3898176903388219,0.353147576820239,0.4261542925680106,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,TWED_lambda1_nu1,TIDE_better,dyad_group,4.476974629904749,4.192010312442717,4.761300401833633,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
TIDE vs EEGNet,TIDE,EEGNet,DTW,TIDE_better,dyad_group,1.0214891432089557,0.8124445730133895,1.22971887124503,1.0,86,32448,5000,outer_test,e7ad79fe6ad5b5884ccb5d60d35891ef7d308976,9455b7b67cdf3829316a276deae37f6832efd85f
