method,variant,metric,mean,standard_deviation,fold,seed,n_subject_trials,evaluation_split,aggregation_definition,source_commit
EMOD scratch,full,ZMAE,1.0157704301664978,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2554969098570139,,4,42,201,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0031955074956165,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0029460156394762,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.3745496548494534,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.042859230370333,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.238045218869829,,0,97,228,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0109837813629498,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0107265888793884,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.400626193966238,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,ZMAE,1.0183442449668625,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,KL,0.2215312301116499,,1,97,227,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_SRCC,0.0104475395397491,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,StaticAware_PCC,0.0077007015192113,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
EMOD scratch,full,TimeAugmented_Discrete_Frechet,2.391230776712491,,2,97,215,outer_test,window -> subject-trial arithmetic mean -> fold mean,9455b7b67cdf3829316a276deae37f6832efd85f
